"","date","GDP_LT","GVA_LT","K_LT","KBR_LT","KBS_LT","KDW_LT","KIP_LT","KTC_LT","obsvalue","KTR_LT","KWO_LT","LCe_LT","LEMPLh_LT","LEMPLp_LT","LHC_LT","LPh_LT","LPp_LT"
"75",2013-07-01,8038.029288,6.13106321096577,1662.18502,14.218433,761.782352,189.918895,132.744946,951.701247,198.909039,563.520395,263.753021,3037.53025334254,522763.017373,1145.165198,6.65401686500339,13.5395696644601,6224.62747105204
"76",2013-10-01,8109.666086,6.35931979619986,1704.095954,13.216689,767.577746,205.627472,140.931241,973.205218,240.461558,576.742806,251.175126,3068.63563452868,523189.284068,1139.221303,6.68181706402388,13.5492967768291,6253.92893505988
"77",2014-01-01,8209.730586,6.57865176290446,1751.177419,9.388168,773.766731,241.316348,149.183284,1015.083079,197.206867,577.522888,279.68699,3122.70375866269,523514.153053,1141.499026,6.80891486545757,13.6712987865158,6276.08150415031
"78",2014-04-01,8264.414432,6.38290635153378,1697.158721,9.233303,800.623843,206.547428,148.870804,1007.171271,164.039188,531.883342,285.016835,3181.31849636391,526848.178596,1146.226172,6.9213687550702,13.7355919928926,6323.97308288399
"79",2014-07-01,8288.410535,6.65135243307099,1713.68641,10.683691,778.830874,256.160449,155.6444,1034.991323,165.663919,512.366996,262.032882,3112.98953154725,534423.227723,1179.765463,6.87207693357139,13.6567365923594,6213.64010749146
"80",2014-10-01,8307.855006,6.8850704483259,1756.297471,11.100277,813.039101,221.668086,163.605773,1034.707187,178.586401,546.884234,279.706088,3207.91086427951,535357.253811,1165.363464,6.98296715023083,13.651833330467,6283.20269312508
"81",2015-01-01,8347.266051,6.85451706281553,1888.499048,16.086851,811.751083,265.987237,167.913421,1077.73832,209.371907,626.760456,319.083879,3262.24759120106,540504.764152,1164.533888,7.02861125925553,13.5435015166085,6303.64045790423
"82",2015-04-01,8418.901147,6.8080950370348,1853.693991,16.307788,775.954699,253.688042,176.491713,1029.642741,175.303873,631.251749,358.809721,3328.5018341379,542463.642422,1167.023755,7.16073927398469,13.5587297666225,6318.48794077838
"83",2015-07-01,8481.377419,6.42584287740307,1831.659167,17.74674,748.07741,258.772207,171.659359,1006.849617,193.544927,635.403452,338.887376,3349.2104321352,539827.774294,1180.836115,7.32616738768633,13.7149467996859,6314.93212108194
"84",2015-10-01,8493.305505,5.88842257514684,1775.953603,18.175772,720.605992,284.00017,168.261581,1004.606162,172.455201,584.910087,308.636375,3415.82828042612,547887.891004,1172.09422,7.30746681892039,13.5335983280266,6341.10032320418
"85",2016-01-01,8522.139721,6.01709743436297,1654.690732,25.55342,700.910066,123.613088,172.051393,824.523154,213.297098,632.562765,318.221476,3451.8796522192,554484.802847,1185.432777,7.37977174665526,13.413775262592,6273.45183784281
"86",2016-04-01,8576.219257,5.91401800001976,1852.242172,29.373945,621.097571,296.445077,181.334659,917.542648,307.94153,723.99092,316.894324,3469.21695778069,557453.892751,1202.042223,7.48069987173396,13.5126636578463,6279.31567339402
"87",2016-07-01,8664.781464,5.67586782271873,1805.866948,29.554893,646.406753,282.730549,187.603083,929.137302,177.372936,659.57167,365.693275,3582.36550585769,565264.110845,1194.53418,7.57036924846164,13.4252357236316,6353.81413943827
"88",2016-10-01,8766.255333,5.94586081285958,1939.682576,30.355445,625.357677,424.141916,191.230325,1049.499593,177.679123,668.597214,374.04043,3665.61509393425,564319.567484,1196.162942,7.76984033098288,13.6395327773782,6444.06868574649
"89",2017-01-01,8864.577229,5.93925252753661,1832.699107,12.654932,695.401595,245.420631,203.110968,940.822226,211.656442,676.110981,342.952136,3736.38014449632,557901.431923,1195.747818,8.00816801921496,14.0033733493437,6546.03578133522
"90",2017-04-01,8927.198718,6.0179578729941,1925.116392,12.014887,697.568736,292.864833,212.304787,990.433569,247.401393,710.36315,338.031111,3821.35872315158,556868.385599,1194.998288,8.20035263285415,14.057105190792,6559.35081033538
"91",2017-07-01,8975.47515,6.10834328743433,1960.377742,12.182651,744.437684,268.525671,222.855229,1012.963355,244.162696,712.376508,349.083212,3916.55856084573,549498.841008,1189.303828,8.47677509283807,14.320574065891,6626.58314875314
"92",2017-10-01,9101.070036,6.34356323512136,2185.47114,12.995738,848.788118,331.509392,234.226658,1180.29751,248.132866,757.951235,366.614983,3994.14854629866,543386.09579,1191.04967,8.75478659622992,14.7312126639757,6725.69412117284
"93",2018-01-01,9170.732611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
